accuracy,F1-score class_1,f1 score class_0,f1_score weighted_avg,f1_score macro_avg
0.687011771873708,0.4166599075350798,0.7861306054478411,0.7208419326069346,0.6013952564914604
0.7101420893443872,0.41381738173817384,0.8074693954241281,0.7379076746167726,0.610643388581151
0.655438779728877,0.421974812922066,0.7545684217052341,0.6957962499592953,0.5882716173136501
0.6224296625106077,0.4179525023480478,0.7205887088982641,0.667110269631247,0.569270605623156
0.5788672019496486,0.4091824897734904,0.6728311582933261,0.6262421547236939,0.5410068240334083
0.6039123528515786,0.4171496269731997,0.7000313102516356,0.6500436663692198,0.5585904686124177
0.5722958417651283,0.4107560405300078,0.6643213334244142,0.6195141496744855,0.537538686977211
0.5941641099288465,0.41819259444115164,0.6884073709006466,0.6406580791795257,0.5532999826708991
0.5694453510890615,0.4124127691165552,0.6602448531053074,0.6164507770326165,0.5363288111109313
0.5880496986313293,0.41869319577499386,0.6809894516900887,0.6346394311429145,0.5498413237325412
0.5676393150118589,0.4128944569199858,0.6578267608059238,0.6145451009965868,0.5353606088629548
0.5828709445786279,0.41753767622751586,0.6750957594657807,0.6295830150747641,0.5463167178466483
0.5647017864525534,0.41249889871075746,0.6542695677721514,0.6115465962238,0.5333842332414545
0.5797375807820354,0.417937435959255,0.6711503098821767,0.6264054016173194,0.5445438729207158
0.563940204974215,0.4134519697945326,0.6529749948050149,0.6106492014305533,0.5332134822997737
0.5765606980438236,0.41746991558402685,0.667395911670199,0.6232318231914948,0.5424329136271129
0.5628957503753509,0.4140023337222871,0.6514557379324705,0.6094956644813988,0.5327290358273788
0.5741671562547599,0.4177674640009521,0.664333985112003,0.6207635449626712,0.5410507245564775
0.5619600931305351,0.4142004946893641,0.650193747936541,0.6084916958091106,0.5321971213129526
0.5721652849402703,0.4178706774040739,0.6618046716433315,0.6186994217963656,0.5398376745237027
0.5611332332397676,0.41476365957693756,0.6489356146977424,0.6075554017261373,0.53184963713734
0.5712731466370737,0.41877341514498956,0.6603809359648367,0.6176867941240294,0.5395771755549131
0.5608068411776226,0.41549866790223566,0.6482520651075251,0.607122523607772,0.5318753665048803
0.5697717431512066,0.41836794728481497,0.6586325966850829,0.6161757518566655,0.538500271984949
0.5597406271079487,0.4152143125523859,0.6469859548111314,0.6060298979148311,0.5311001336817587
0.5680092260156233,0.41802245478263417,0.6565284337641217,0.6143823612330892,0.5372754442733779
0.5591748808668974,0.41503768082464704,0.6463225153192158,0.6054524815717912,0.5306800980719314
0.5670300498291881,0.41784669397308366,0.6553504001108532,0.6133814378734395,0.5365985470419684
0.5585003372717976,0.414869073710924,0.6455152171634229,0.6047580456557583,0.5301921454371734
0.565724481580608,0.4172506423732772,0.6539035133354142,0.6120849010438478,0.5355770778543457
0.5579781099723655,0.41448089006744687,0.6449842712338343,0.6042523270587961,0.5297325806506405
0.5645059512152665,0.41704532214843293,0.6524261053801536,0.6108322820099421,0.5347357137642932
0.5570424527275497,0.4143724288714363,0.6438157227092192,0.6032711051480939,0.5290940757903277
0.563417977674783,0.4163369792878753,0.6512913205186138,0.6097728531440065,0.5338141499032445
0.5566507822529756,0.41456196304916243,0.6432386055225788,0.6028294618986126,0.5289002842858707
0.5630263072002089,0.41666182536455004,0.6506749234622878,0.6093227819027489,0.533668374413419
0.5565855038405466,0.4148288536641397,0.6430548257137851,0.6027253194576072,0.5289418396889625
0.5621124094262028,0.41605246358307707,0.6497249878159159,0.6084330286085071,0.5328887256994965
0.5552581761211567,0.41393548387096774,0.6416662283700626,0.6014242331119486,0.5278008561205152
0.5608068411776226,0.4156002084660374,0.6482152816508645,0.6071101832037513,0.531907745058451
0.5553452140043954,0.4141173772183835,0.6417112299465241,0.6014934246501551,0.5279143035824538
0.5606980438235742,0.41567537842609475,0.6480483935637955,0.6069860688704242,0.5318618859949451
0.5550188219422504,0.4140401146131805,0.6413161679587469,0.6011545205661986,0.5276781412859637
0.5602846138781905,0.41568355308813326,0.6475143903715332,0.6065478732016029,0.5315989717298333
0.5544748351720086,0.41364300237692947,0.6407579612246688,0.6006247806253587,0.5272004818007991
0.5599799812868551,0.4158867706528019,0.6470485565678781,0.6062002665703514,0.5314676636103399
0.5549535435298214,0.4141723713230029,0.6411817336537956,0.6010672128737541,0.5276770524883992
0.5600017407576647,0.41586503740936537,0.6470844895893328,0.606226009463269,0.5314747634993491
0.5543007594055313,0.4137496780102464,0.6404914436156209,0.6004242094950027,0.5271205608129337
0.559849424461997,0.4159833699041459,0.6468452110758057,0.6060499239126956,0.5314142904899758
0.5536697347520508,0.413641301240638,0.6397105318625729,0.5997621404993261,0.5266759165516055
0.5587832103923233,0.4154294115951221,0.6456742446747165,0.6049879881862733,0.5305518281349193
0.5532998237482865,0.41344038401097183,0.6393042255995783,0.599392128257692,0.5263723048052751
0.5577387557934591,0.4150237444236581,0.6444751526176774,0.6039291011795149,0.5297494485206677
0.5532345453358575,0.41367296818778915,0.6391310461192351,0.5992906507304745,0.5264020071535122
0.5578475531475074,0.4153190999597169,0.6445066480055983,0.604007222941286,0.5299128739826576
0.5532127858650477,0.41396238262408314,0.6389929145348735,0.5992280702315567,0.5264776485794783
0.557085971669169,0.41486762296260105,0.6436886235930471,0.6032539706322392,0.5292781232778241
0.552472963857519,0.41325992069152423,0.638293382107244,0.5985280201350295,0.5257766513993841
0.557347085318885,0.41527981374493406,0.6438737461267791,0.6034792180924652,0.5295767799358566
0.552211850207803,0.41335271815046043,0.6379167766341163,0.5982343622261748,0.5256347473922883
0.5564767064864983,0.41503802554168456,0.6428358653559726,0.6025820137744543,0.5289369454488286
0.5519724960288965,0.4132231404958677,0.6376531043221175,0.5979943856017272,0.5254381224089926
0.5557586439497791,0.41461176740451894,0.6420631859462113,0.601870550004416,0.5283374766753651
0.5519289770872773,0.4134336010938301,0.6375158428390366,0.5979185696224902,0.5254747219664333
0.5554104924168244,0.41448876662081613,0.6416570205899891,0.6015144222810556,0.5280728936054027
0.5518636986748482,0.4132980087172036,0.6374821777472672,0.5978668930965471,0.5253900932322354
0.5552799355919664,0.414249684741488,0.6415769352179861,0.6014062408489098,0.5279133099797371
0.5515155471418935,0.4131765509779916,0.6370727756158545,0.5975083732335388,0.5251246632969231
0.5551711382379181,0.41462646393494257,0.6412942394413154,0.601240080012126,0.5279603516881289
0.5516896229083709,0.4136714192208088,0.6371114046675473,0.5976276237024504,0.525391411944178
0.5555845681833018,0.41518726377276366,0.6416213370766801,0.6016084748510975,0.5284043004247219
0.5519942554997063,0.41416986769099445,0.6373196639010728,0.597887161887842,0.5257447657960336
0.5551493787671083,0.41518393500772355,0.6410562539504178,0.6011426585866294,0.5281200944790707
0.5518419392040386,0.4142540242307036,0.6370876797293488,0.5977110425183798,0.5256708519800262
0.554648910938486,0.41514502071724524,0.6404188408088687,0.6006110053765282,0.5277819307630569
0.5511891550797484,0.4138675760159136,0.6363796629292715,0.5970598496728932,0.5251236194725926
